,Epsilon,Model,Missclassification Rate
0,0.1,2-Layer DNN,0.9137
2,0.075,2-Layer DNN,0.757
4,0.05,2-Layer DNN,0.4388
6,0.026,2-Layer DNN,0.1403
8,0.001,2-Layer DNN,0.0301
1,0.1,CNN,0.4425
3,0.075,CNN,0.2667
5,0.05,CNN,0.1284
7,0.026,CNN,0.048
9,0.001,CNN,0.0113
